Model Name,Model RMSE,Model Scatter Index
SVR_tuned,0.06721742910749601,0.31989263709620136
Ridge_tuned,0.048711200517142325,0.2314860129981648
Lasso_tuned,0.05074121825877824,0.24113094698784698
MLPRegressor_tuned,0.004939708222338574,0.02347504977894191
Sequential_tuned,,
