Model Name,Model RMSE,Model Scatter Index
SVR_tuned,0.06651342935664444,-0.5635536199653015
SVR_tuned_tuned,0.06651342935664444,-0.5635536199653015
Ridge_tuned,0.4222061684861747,-3.570795751121521
Ridge_tuned_tuned,0.4222060663284887,-3.5707947845409946
Lasso_tuned,0.45522322920342234,-3.849752781680418
Lasso_tuned_tuned,0.4224745534203425,-3.5730090981648073
MLPRegressor_tuned,0.4118666637265845,-3.5081490112894187
MLPRegressor_tuned_tuned,0.0075368868762469374,-0.06373956424126348
Sequential_tuned,0.018098503064614344,-0.15319511034743014
Sequential_tuned_tuned,,
